Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,date,normalized_pnl
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,HYPE,24.449,20.45,499.98,SELL,03-02-2025 20:34,-729.41,Open Short,0.0,0xda3501deb2e2dc13f680041d1095ab0203e700989451f74c077effe28b3c3429,69052370563,True,0.174993,803000000000000.0,2025-03-02 20:34:00,2025-03-02,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,FARTCOIN,0.765,653.5,499.93,BUY,10-04-2025 04:42,-61390.7,Close Short,-20.93814,0x4817deadadffab6f9b4504213cf4d3017500e8813613801b2b503793a32d3a77,85447255304,False,0.049992,690000000000000.0,2025-10-04 04:42:00,2025-10-04,-0.041882143500090015
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,11.344,17.63,199.99,SELL,06-04-2025 20:45,19396.3,Close Long,0.754564,0x97eb95853f710cad337b042105f1b50201e70047dfb20914d495ad85cd92d0d8,84263349515,True,0.059998,137000000000000.0,2025-06-04 20:45:00,2025-06-04,0.0037730086504325216
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,HYPE,25.622,19.51,499.89,BUY,05-02-2025 01:22,-1073.18,Close Short,13.276555,0x28a202e63c4141250b54041d240dd50202b800d3d6ae6738d7c5b92f3e561a27,69564399440,True,0.174959,760000000000000.0,2025-05-02 01:22:00,2025-05-02,0.026558952969653323
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,17.574,115.36,2027.34,SELL,05-03-2025 15:04,21868.26,Close Long,110.641776,0xb7b9fec29cc8015328f2041ef237a90203e600eec31114001b86bef5b11c7780,77328393768,True,0.506834,842000000000000.0,2025-05-03 15:04:00,2025-05-03,0.054574849803190384
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,10.024,50.44,505.61,BUY,07-04-2025 04:51,55566.15,Open Long,0.0,0x44459050658d9f023f3b04210b81970000db39f7ce7e6345101d568a5bf0995b,84264598507,False,0.02528,794000000000000.0,2025-07-04 04:51:00,2025-07-04,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,24.827,27.73,688.45,SELL,04-02-2025 02:29,-1277.58,Open Short,0.0,0xe80c966e237feb04acd1041d148d2701e20000572326d4de629a6cbe26fd6d09,69175425695,True,0.240958,490000000000000.0,2025-04-02 02:29:00,2025-04-02,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,13.482,50.0,674.1,SELL,02-04-2025 18:30,22519.07,Close Long,39.185,0x836298a0842543021cac0420c28b240202a000489fb43391b9bf305bfd60964e,83365835018,True,0.235935,561000000000000.0,2025-02-04 18:30:00,2025-02-04,0.05812935766206794
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,HYPE,14.376,30.01,431.42,BUY,10-03-2025 05:18,13804.45,Open Long,0.0,0x059f309198af2438f6d4041f3de7d0016400734299d4fe5e17bfc246e7c20c42,78521725174,True,0.129427,929000000000000.0,2025-10-03 05:18:00,2025-10-03,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,PURR,0.2291,178.0,40.78,SELL,10-12-2024 05:31,6255.0,Close Long,1.612858,0x0000000000000000000000000000000000000000000000000000000000000000,54083748103,False,0.003913,479000000000000.0,2024-10-12 05:31:00,2024-10-12,0.03955022069641981
0x8477e447846c758f5a675856001ea72298fd9cb5,FARTCOIN,0.75,666.6,499.95,BUY,10-04-2025 05:05,-56770.5,Close Short,-11.358864,0x977739d9921a560c92bd04213d387901eb0076a64b02b767f7c062486f821069,85450113415,False,0.049995,944000000000000.0,2025-10-04 05:05:00,2025-10-04,-0.02272
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,VINE,0.14294,18343.0,2621.95,SELL,06-02-2025 18:15,32691.0,Close Long,15.261376,0x91c62e4d126387ed8f07041d3f845a00004871dcf4b714ea4000622cb1de9edf,70121794766,True,0.917681,329000000000000.0,2025-06-02 18:15:00,2025-06-02,0.005820620530521178
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,83072.0,0.24075,19999.58,SELL,12-04-2025 09:15,3.98768,Close Long,46.585125,0x04142cf779dc722c14a2042160c2e70201900060892c1a0b1448bda3a619e60b,85949279872,True,4.999896,414000000000000.0,2025-12-04 09:15:00,2025-12-04,0.002329305165408473
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,PURR/USDC,0.16,200.0,32.0,BUY,02-02-2025 16:04,197133.2847,Buy,0.0,0xd6d64949c023d72b6ba8041cfd857f02013400a7120df308ad2ec75ee70c02be,68451930417,False,0.02,964000000000000.0,2025-02-02 16:04:00,2025-02-02,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,SUI,4.5174,986.1,4454.61,BUY,08-01-2025 17:09,25328.9,Open Long,0.0,0x868122098516292eed96041af508cb02029f008b9be8817f18c1deb9f10d88db,61425633885,True,1.559112,499000000000000.0,2025-08-01 17:09:00,2025-08-01,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2278.0,9.9701,22711.89,BUY,05-02-2024 06:51,0.1331,Open Long,0.0,0x9032435d5664444745ba0407796d700201a2001c9dd355cd5bc1ef4ee3bca8fe,8842327069,True,5.677971,539000000000000.0,2024-05-02 06:51:00,2024-05-02,0.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,SOL,120.08,60.0,7204.8,SELL,11-03-2025 07:38,-370.71,Open Short,0.0,0x3d7a25e0e67d1b717017041f501b350201b200fb6c10139c341d1558202a1f4c,78915683799,True,1.8012,478000000000000.0,2025-11-03 07:38:00,2025-11-03,0.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,ENA,0.5634,5322.0,2998.41,BUY,03-02-2025 08:49,-89324.0,Close Short,2108.810568,0x4c59d8579d540599c656041d089ea602039e001ddbd4da883970e793651d9995,68816050046,False,0.299841,730000000000000.0,2025-03-02 08:49:00,2025-03-02,0.7033096100933495
0x271b280974205ca63b716753467d5a371de622ab,SOL,103.77,1.82,188.86,BUY,09-04-2025 17:40,1895.87,Open Long,0.0,0x69e4ada384cd22b71aa40421355b510201cb0021780e39492123e9ceba6793c9,85281461402,False,0.01813,561000000000000.0,2025-09-04 17:40:00,2025-09-04,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,BTC,94993.0,0.05732,5445.0,SELL,02-03-2025 23:17,0.05732,Close Long,171.650472,0xc88e72c3bfc5f18560a1041ec6d72002014f002030adcbf812680aedb5486d26,74901848177,False,0.544499,285000000000000.0,2025-02-03 23:17:00,2025-02-03,0.03152442093663912
